feature,spearman_with_deltaK_reinit
CHECKPOINT_100UM__mobile_centroid_tip_relative_m,-0.2380952380952381
CHECKPOINT_050UM__wake_retained_width_m,0.19047619047619052
CHECKPOINT_025UM__retained_centroid_tip_relative_m,0.19047619047619052
CHECKPOINT_300UM__retained_centroid_tip_relative_m,0.19047619047619052
CHECKPOINT_300UM__wake_retained_centroid_laboratory_m,0.19047619047619052
CHECKPOINT_025UM__wake_retained_centroid_laboratory_m,0.19047619047619052
CHECKPOINT_050UM__retained_width_m,0.19047619047619052
INITIAL_ONSET__mobile_centroid_tip_relative_m,-0.19047619047619052
INITIAL_ONSET__wake_retained_width_m,0.1666666666666667
INITIAL_ONSET__wake_retained,0.1666666666666667
INITIAL_ONSET__retained_total,0.1666666666666667
CHECKPOINT_050UM__wake_retained_centroid_laboratory_m,0.09523809523809526
CHECKPOINT_050UM__retained_centroid_tip_relative_m,0.09523809523809526
CHECKPOINT_200UM__wake_retained_centroid_laboratory_m,0.09523809523809526
INITIAL_ONSET__retained_width_m,0.09523809523809526
CHECKPOINT_200UM__retained_centroid_tip_relative_m,0.09523809523809526
INITIAL_ONSET__wake_retained_centroid_laboratory_m,0.07142857142857144
INITIAL_ONSET__retained_centroid_tip_relative_m,0.07142857142857144
CHECKPOINT_000UM__mobile_total,
CHECKPOINT_000UM__retained_fraction,
CHECKPOINT_000UM__mobile_centroid_tip_relative_m,
CHECKPOINT_000UM__mobile_width_m,
CHECKPOINT_000UM__retained_centroid_tip_relative_m,
CHECKPOINT_000UM__retained_width_m,
CHECKPOINT_000UM__near_tip_mobile,
CHECKPOINT_000UM__wake_mobile,
CHECKPOINT_000UM__wake_retained,
CHECKPOINT_000UM__wake_retained_centroid_laboratory_m,
CHECKPOINT_000UM__wake_retained_width_m,
CHECKPOINT_000UM__tip_radius_m,
CHECKPOINT_000UM__front_width_m,
CHECKPOINT_000UM__shielding_MPa_sqrt_m,
CHECKPOINT_000UM__taylor_completion_rate_max_s,
CHECKPOINT_000UM__taylor_completion_rate_mean_s,
CHECKPOINT_025UM__near_tip_mobile,
CHECKPOINT_025UM__taylor_completion_rate_max_s,
CHECKPOINT_025UM__taylor_completion_rate_mean_s,
CHECKPOINT_050UM__taylor_completion_rate_max_s,
CHECKPOINT_050UM__taylor_completion_rate_mean_s,
CHECKPOINT_100UM__taylor_completion_rate_max_s,
CHECKPOINT_100UM__taylor_completion_rate_mean_s,
CHECKPOINT_200UM__near_tip_mobile,
CHECKPOINT_200UM__taylor_completion_rate_max_s,
CHECKPOINT_200UM__taylor_completion_rate_mean_s,
CHECKPOINT_300UM__near_tip_mobile,
CHECKPOINT_300UM__taylor_completion_rate_max_s,
CHECKPOINT_300UM__taylor_completion_rate_mean_s,
INITIAL_ONSET__near_tip_mobile,
INITIAL_ONSET__taylor_completion_rate_max_s,
INITIAL_ONSET__taylor_completion_rate_mean_s,
REINITIATION_ONSET_01__near_tip_mobile,
REINITIATION_ONSET_01__taylor_completion_rate_max_s,
REINITIATION_ONSET_01__taylor_completion_rate_mean_s,
