material_class,temperature_K,sensitivity_group,parameter_owner,PF_sign__first_event_native_KJ_MPa_sqrt_m,FEMCZM_sign__first_event_native_KJ_MPa_sqrt_m,sign_agreement__first_event_native_KJ_MPa_sqrt_m,mean_magnitude__first_event_native_KJ_MPa_sqrt_m,PF_sign__onset_envelope_max_MPa_sqrt_m,FEMCZM_sign__onset_envelope_max_MPa_sqrt_m,sign_agreement__onset_envelope_max_MPa_sqrt_m,mean_magnitude__onset_envelope_max_MPa_sqrt_m,PF_sign__precursor_reinitiation_count,FEMCZM_sign__precursor_reinitiation_count,sign_agreement__precursor_reinitiation_count,mean_magnitude__precursor_reinitiation_count,PF_sign__physical_avalanche_count,FEMCZM_sign__physical_avalanche_count,sign_agreement__physical_avalanche_count,mean_magnitude__physical_avalanche_count,PF_sign__largest_avalanche_fraction,FEMCZM_sign__largest_avalanche_fraction,sign_agreement__largest_avalanche_fraction,mean_magnitude__largest_avalanche_fraction,PF_sign__mean_event_size_um,FEMCZM_sign__mean_event_size_um,sign_agreement__mean_event_size_um,mean_magnitude__mean_event_size_um,PF_sign__max_tip_radius_um,FEMCZM_sign__max_tip_radius_um,sign_agreement__max_tip_radius_um,mean_magnitude__max_tip_radius_um,PF_sign__max_backstress_GPa,FEMCZM_sign__max_backstress_GPa,sign_agreement__max_backstress_GPa,mean_magnitude__max_backstress_GPa,PF_sign__minimum_front_width_um,FEMCZM_sign__minimum_front_width_um,sign_agreement__minimum_front_width_um,mean_magnitude__minimum_front_width_um,PF_sign__max_source_multiplicity,FEMCZM_sign__max_source_multiplicity,sign_agreement__max_source_multiplicity,mean_magnitude__max_source_multiplicity
DBTT,1200.0,lifecycle_translation_length,BACKEND_REDUCTION,0,0,True,0.0,-1,-1,True,0.3344496622972825,-1,0,False,0.5,-1,0,False,0.25,1,0,False,0.026315789473684178,0,0,True,0.0,-1,-1,True,0.6672514334283326,-1,-1,True,0.34990724965844067,1,1,True,0.3723019691940156,0,0,True,0.0
DBTT,1200.0,peierls_barrier_entropy,SHARED_MATERIAL_ROW,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,1,0,False,2.0480706063498785e-16,1,0,False,2.4233938870064588e-16,-1,0,False,1.91736268100873e-16,0,0,True,0.0
DBTT,1200.0,peierls_shape,SHARED_MATERIAL_ROW,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0
DBTT,1200.0,process_zone_length,CONTROLLED_COMMON_PHYSICS,1,1,True,0.3534590814025701,1,1,True,0.5197219295738954,1,0,False,0.5,1,0,False,0.25,-1,0,False,0.026315789473684178,0,0,True,0.0,1,1,True,0.7457817561269569,1,-1,False,0.14739580133788677,-1,1,False,0.17533312268937096,1,1,True,0.0005122133400920262
DBTT,1200.0,source_zone_length,CONTROLLED_COMMON_PHYSICS,-1,-1,True,7.509291040952321e-11,-1,-1,True,0.33444966318714425,-1,0,False,0.5,-1,0,False,0.25,1,0,False,0.026315789473684178,0,0,True,0.0,-1,-1,True,0.6672514349258971,-1,-1,True,0.349907250321484,1,1,True,0.37230196968456236,1,1,True,1.3631826647175203e-09
DBTT,1200.0,taylor_barrier_entropy,SHARED_MATERIAL_ROW,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0
DBTT,1200.0,taylor_correlation,SHARED_MATERIAL_ROW,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,1,False,4.245325914356991e-16,0,1,False,2.521686030846448e-16,0,-1,False,2.440400024475675e-16,0,0,True,0.0
DBTT,1200.0,taylor_shape,SHARED_MATERIAL_ROW,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0
Peak,600.0,backstress_coefficient,CONTROLLED_COMMON_PHYSICS,-1,-1,True,0.00017015552055088168,-1,-1,True,0.00017015552055088168,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,-1,-1,True,0.09583774698355314,1,1,True,0.4263983062156843,1,1,True,0.07322461932112802,1,1,True,0.00011232962017255975
Peak,600.0,blunting_coefficient,SHARED_MATERIAL_ROW,1,1,True,0.0020281771860742735,1,1,True,0.0020281771860742735,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,1,1,True,0.10664987841607469,1,-1,False,0.060572801100768875,-1,1,False,0.059744416242804216,1,1,True,4.580159378615145e-05
