provider,material_class,candidate_id,temperature_K,target_um,status,event_count,physical_avalanche_count,precursor_reinitiation_count,largest_avalanche_fraction,first_event_opening_um,first_event_native_KJ_MPa_sqrt_m,onset_envelope_min_MPa_sqrt_m,onset_envelope_max_MPa_sqrt_m,qualified_G_onset_min_J_m2,qualified_G_onset_max_J_m2,mean_event_size_um,median_event_size_um,terminal_extension_um,terminal_opening_um,max_tip_radius_um,max_backstress_GPa,minimum_front_width_um,max_source_multiplicity,model_contract,loading_rate_factor,nominal_opening_rate_m_s,authoritative_PF_2D_initial_KJ_MPa_sqrt_m,PF_2D_initial_relative_error
FEMCZM,Peak,v913_zeroD_sobol_0242980,1000.0,100.0,TARGET_RIGHT_CENSORED,19,1,0,1.0,10.007788586925036,45.75125878992847,45.75125878992847,45.75125878992847,4702.874203087328,4702.874203087328,5.263157894736841,4.143147460518555,99.99999999999999,11.000871775354398,4.333578101063581,5.90688280009742,0.20341176660224441,293864.53414275404,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,,
FEMCZM,Peak,v913_zeroD_sobol_0242980,1000.0,100.0,TARGET_RIGHT_CENSORED,19,1,0,1.0,12.13277205285785,55.465759414095146,55.465759414095146,55.465759414095146,6912.055136266762,6912.055136266762,5.263157894736841,4.143147460518555,99.99999999999999,49.167566345385445,18.621451051424355,13.580737040657064,0.08848780405423153,293864.53414275404,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,1.0,2.3809523809523807e-08,,
FEMCZM,Peak,v913_zeroD_sobol_0242980,1000.0,100.0,RIGHT_CENSORED_NUMERICAL_BOUND,3,3,2,0.3333333333333333,145.03726693881956,663.0473332111742,663.0473332111742,1161.5374442211269,987748.3934835528,3031266.49257341,2.882912871038394,2.4123168836609996,8.648738613115182,500.18914796818564,238.92780556559092,49.90293131178464,0.024082268610336428,293864.53414275404,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,100.0,2.3809523809523808e-06,,
FEMCZM,Peak,v913_zeroD_sobol_0242980,1200.0,100.0,TARGET_RIGHT_CENSORED,19,1,0,1.0,9.33609813028342,42.680582022367176,42.680582022367176,42.680582022367176,4092.775593389165,4092.775593389165,5.263157894736841,4.143147460518555,99.99999999999999,12.032217627869475,6.011286959198087,7.2423074401996805,0.16591545199908195,293864.53414275404,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,,
FEMCZM,Peak,v913_zeroD_sobol_0242980,1200.0,100.0,TARGET_RIGHT_CENSORED,19,1,0,1.0,11.383699694710716,52.04132623264825,52.04132623264825,52.04132623264825,6084.907463456601,6084.907463456601,5.263157894736841,4.143147460518555,99.99999999999999,48.53451538634456,18.936873320985498,13.701739520750099,0.0877063787475128,293864.53414275404,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,1.0,2.3809523809523807e-08,,
FEMCZM,Peak,v913_zeroD_sobol_0242980,1200.0,100.0,RIGHT_CENSORED_NUMERICAL_BOUND,3,3,2,0.3333333333333333,148.1407722669338,677.2352104019436,677.2352104019436,1175.7751699525531,1030472.3090857675,3106034.380929847,2.882912871038394,2.4123168836609996,8.648738613115182,500.09265329629983,244.45910642242478,50.479649624735785,0.023807128301521735,293864.53414275404,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,100.0,2.3809523809523808e-06,,
PF,DBTT,v913_zeroD_sobol_0202500,600.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,11.452382596402531,22.766957572939685,22.766957572939685,22.766957572939685,,,4.999999999999999,5.0,99.99999999999999,12.935688649779165,1.0000000126422728,0.0003484167921903737,9.999957974270758,13098.721493861516,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,,
PF,DBTT,v913_zeroD_sobol_0202500,600.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,11.779418391372,23.417093909743638,23.417093909743638,23.417093909743638,,,4.999999999999999,5.0,99.99999999999999,13.307000597230573,1.0000000137021567,0.00036272790120179475,9.999954451005037,13098.721493861516,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,1.0,2.3809523809523807e-08,,
PF,DBTT,v913_zeroD_sobol_0202500,600.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,12.126919585876843,24.107914783499886,24.107914783499886,24.107914783499886,,,4.999999999999999,5.0,99.99999999999999,13.698123956219987,1.0000000144722865,0.0003727821194831495,9.999951890942098,13098.721493861516,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,100.0,2.3809523809523808e-06,,
PF,DBTT,v913_zeroD_sobol_0202500,1000.0,100.0,TARGET_RIGHT_CENSORED,20,2,1,0.95,30.530549524643284,60.69372201417994,60.69372201417994,102.20259198206881,,,4.999999999999999,5.0,99.99999999999999,78.61866165544455,45.920540902380424,20.53258260143783,0.057864049881670335,13045.052143039484,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,53.73880550261835,0.12942074998713404
PF,DBTT,v913_zeroD_sobol_0202500,1000.0,100.0,TARGET_RIGHT_CENSORED,20,2,1,0.95,31.977703698880312,63.57061661746594,63.57061661746594,109.16109415083311,,,4.999999999999999,5.0,99.99999999999999,84.11163100371786,49.832452898682654,21.47574483907329,0.05549803769192872,13095.647939493772,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,1.0,2.3809523809523807e-08,56.18816031656195,0.13138811200280473
PF,DBTT,v913_zeroD_sobol_0202500,1000.0,100.0,TARGET_RIGHT_CENSORED,20,2,1,0.95,33.47881159877486,66.55476944170351,66.55476944170351,116.6355006908612,,,4.999999999999999,5.0,99.99999999999999,87.98422211871572,52.53264552584088,22.085856179341388,0.054024533907546565,13098.673478265662,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,100.0,2.3809523809523808e-06,58.64566897555641,0.13486248182186522
PF,DBTT,v913_zeroD_sobol_0202500,1200.0,100.0,TARGET_RIGHT_CENSORED,20,2,1,0.95,28.918912070053835,57.48984009330136,57.48984009330136,104.07021402478934,,,4.999999999999999,5.0,99.99999999999999,78.37743276147759,50.06731666438425,21.579068304885272,0.055365060044779875,11492.876073495827,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,,
PF,DBTT,v913_zeroD_sobol_0202500,1200.0,100.0,TARGET_RIGHT_CENSORED,20,2,1,0.95,30.395430455953072,60.425109777532214,60.425109777532214,111.11076985779054,,,4.999999999999999,5.0,99.99999999999999,82.00743149567316,52.03991016401872,21.990112902296634,0.05428467425049174,11492.876306398863,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,1.0,2.3809523809523807e-08,,
PF,DBTT,v913_zeroD_sobol_0202500,1200.0,100.0,TARGET_RIGHT_CENSORED,20,2,1,0.95,32.000393648243104,63.61572348585131,63.61572348585131,118.81323420413324,,,4.999999999999999,5.0,99.99999999999999,84.60923244589976,52.452195282772905,22.076443913198197,0.054066752342354044,11492.876619064313,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,100.0,2.3809523809523808e-06,,
FEMCZM,DBTT,v913_zeroD_sobol_0202500,600.0,100.0,TARGET_RIGHT_CENSORED,17,1,0,1.0,5.679655673704015,25.964916655494527,25.964916655494527,25.964916655494527,1514.7157194831132,1514.7157194831132,5.882352941176471,3.2784012931805058,99.99999999999999,6.81757352346105,1.0000000219633889,0.0004592342987935385,9.999926989145955,13098.721493807927,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,,
FEMCZM,DBTT,v913_zeroD_sobol_0202500,600.0,100.0,TARGET_RIGHT_CENSORED,17,3,2,0.8823529411764706,8.070564825170486,36.895113909547504,36.895113909547504,62.36279266259952,3058.4048782466157,8737.919771193372,5.882352941176471,3.2784012931805058,99.99999999999999,119.63914141861572,2.828382299925453,4.189532199495185,0.28669922626391675,13098.721493807927,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,1.0,2.3809523809523807e-08,,
FEMCZM,DBTT,v913_zeroD_sobol_0202500,600.0,100.0,RIGHT_CENSORED_NUMERICAL_BOUND,2,2,1,0.5,239.8125824999718,1096.31887481832,1096.31887481832,1910.9441249883946,2700418.3417048804,8204519.268846169,2.2973400956248735,2.2973400956248735,4.594680191249747,500.00272317163274,29.942039139340565,16.66986080068209,0.07208796034751623,13098.721493807927,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,100.0,2.3809523809523808e-06,,
FEMCZM,DBTT,v913_zeroD_sobol_0202500,1000.0,100.0,TARGET_RIGHT_CENSORED,17,1,0,1.0,10.376629536110224,47.437439265457414,47.437439265457414,47.437439265457414,5055.9147336875585,5055.9147336875585,5.882352941176471,3.2784012931805058,99.99999999999999,16.93777622163743,10.728352037085747,9.665059425052647,0.12433270326274042,12930.454864138439,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,,
