material_class,event_transaction_index,physical_avalanche_index,pre_event_step,pre_event_time_s,pre_event_opening_m,pre_event_reaction_N_per_m,pre_event_native_J_J_per_m2,pre_event_native_KJ_MPa_sqrt_m,pre_event_projected_extension_um,post_event_projected_extension_um,event_extension_um,post_event_tip_x_m,post_event_tip_y_m,post_event_process_zone_fingerprint,reload_time_to_next_event_s,reload_opening_to_next_event_m,certified_reload_before_next_event,right_censored_at_target,source_steps_sha256,semantic_role
Peak,17,0,278,1332.3767767527502,3.172325658935131e-05,6838704.579929454,8099.63364949911,60.027932194511465,85.81449810304701,88.1118381986719,2.2973400956249024,0.0005881118381986719,0.0,8631c07d8b2ab301d5561371e24c39c906c7ec8344554c7ea39b7cf547d83692,1.4481133803201374e-06,3.447891657511887e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,18,0,288,1332.3767782008636,3.1723256623830226e-05,6836682.533826684,8159.454904324976,60.24919777061114,88.1118381986719,94.44861849005184,6.3367802913799185,0.0005944486184900518,0.0,97ba20a5b076e2ad8cac411c7e079600c82679042bc4c5d833ee9a401f43fd19,4.200001058052294e-07,1.000000321264849e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,19,0,293,1332.3767786208637,3.172325663383023e-05,6853003.325057409,9855.099566341472,66.21421024728664,94.44861849005184,96.74569264369192,2.2970741536401054,0.000596745692643692,-3.495493734011287e-08,fdc4652c9ba33d616ce3d6367679f24d975b8f700919acc8d3288de2ec968803,4.200001058052294e-07,1.000000321264849e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,20,0,298,1332.3767790408638,3.172325664383023e-05,6851806.073294011,9825.321278777887,66.11409773713316,96.74569264369192,99.04276679733204,2.2970741536401054,0.000599042766797332,-6.990987468022574e-08,3fb09f1f094cfaa2c99d1dc22d25cd6103c762742bba7d6c2701438466432497,1.1987503967247903e-06,2.8541689953316685e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,21,0,308,1332.3767802396142,3.172325667237192e-05,6850587.668492468,9791.138908261868,65.9989918015654,99.04276679733204,104.28775434413848,5.244987546806435,0.0006042877543441385,-1.4972367205274882e-07,cda2b6b0eec6b2c7d386f757fb28e712389f27f8d442452f141229effb4d7014,5.040001269662753e-07,1.2000003855178187e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,22,0,314,1332.3767807436143,3.1723256684371926e-05,6847302.875746583,9726.37458017532,65.78035165221797,104.28775434413848,106.58403073339548,2.2962763892570144,0.0006065840307333955,-2.196254539082047e-07,cc03d2f6df2f62941e7a93c3a5eeac0e8db0642bef414aaca66f4f2e39378161,3.360000846441835e-07,8.000002570118792e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,23,0,318,1332.3767810796144,3.172325669237193e-05,6845126.165264876,9746.991538054379,65.85003192263889,106.58403073339548,108.8813708290204,2.2973400956249024,0.0006088813708290204,-2.1962545390820523e-07,c05d18087c0b06ae335d3a2ad54409f70cb73d6c675b573ee5a69294f3748e02,8.748043001105543e-07,2.0828675698254806e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,24,0,328,1332.3767819544187,3.1723256713200605e-05,6842486.229951086,9784.825047599366,65.97770849414019,108.8813708290204,112.70941139379978,3.8280405647793914,0.0006127094113937998,-2.1962545390820605e-07,744fb9a6f11460c05f6b4b973d31b175f8e9418b5806e4e12c09b0a737be2dff,5.880001481273212e-07,1.4000004497707885e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,25,0,335,1332.3767825424188,3.172325672720061e-05,6839257.098438233,9812.95896288549,66.07249194171398,112.70941139379978,115.34848640842107,2.6390750146212776,0.0006153484864084211,-2.1962545390820666e-07,18b63ba7badbbaaa78ff1c8eeb94b387c383c667f13e090d30d8f6f57c08d652,2.693844180612359e-06,6.413917790978885e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,26,0,345,1332.376785236263,3.172325679133979e-05,6811064.395643893,14626.597151065653,80.6663386697078,115.34848640842107,126.8125512463811,11.464064837960072,0.0006268125512463811,-2.1962545390820917e-07,7963223d9b0089dff2fcfaa075904bc072c476c6308018814b46ac1d95396b34,1.4795296010561287e-06,3.5226880548862305e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,27,0,355,1332.3767867157926,3.172325682656667e-05,6798616.984617917,16027.722614429844,84.44162924712614,126.8125512463811,133.2868014760918,6.47425022971067,0.0006332868014760918,-2.1962545390821063e-07,302131015546093707611d8d671942642b4462ac419e2f4f5cf5bfdde36ce216,7.560001904494129e-07,1.800000578276728e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,28,0,364,1332.3767874717928,3.172325684456667e-05,6789314.585169109,16966.048294394408,86.87824609681427,133.2868014760918,136.5937729785354,3.306971502443608,0.0006365937729785354,-2.1962545390821137e-07,060737548b096c0dbd67f4765e05bfd6e0fb41531874127c9d901b7848fe5144,1.053726919053588e-06,2.5088709321857694e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,29,0,374,1332.3767885255197,3.172325686965538e-05,6796384.155380861,14812.60008449172,81.17762558259165,136.5937729785354,141.20475860020048,4.6109856216650655,0.0006412047586002005,-2.1962545390821238e-07,f2119d90ec5651dbb72d59c7a45e5de2639ac43a66046f6a8518938dab5e4270,5.040001269662753e-07,1.2000003855178187e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,30,0,380,1332.3767890295198,3.1723256881655386e-05,6792963.642027745,14461.528984489363,80.2098679753122,141.20475860020048,143.50209869582534,2.2973400956249024,0.0006435020986958254,-2.196254539082129e-07,20f99d373d166f4a209442e925f7a738d183d1fdbc6afbe068645eef1a7d04bf,2.576513907115441e-06,6.134557515831765e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,31,0,390,1332.3767916060337,3.172325694300096e-05,6790863.3682872355,14279.937233516359,79.70468405229384,143.50209869582534,154.3956934333259,10.893594737500559,0.000654395693433326,-2.196254539082153e-07,b8d93019b183f2d7e32211a676d4e82c8033d145559ea36d58b485f78a47692e,7.560001904494129e-07,1.800000578276728e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,32,0,399,1332.376792362034,3.172325696100097e-05,6777164.737863187,13292.965919411825,76.90093867782109,154.3956934333259,157.79436232549634,3.398668892170436,0.0006577943623254964,-2.1962545390821603e-07,399cd489f4c1f48df3c3e29557c6ba09b1bc641222ace8b7093b5f9196f1ddfd,3.360000846441835e-07,8.000002570118792e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,33,0,403,1332.376792698034,3.172325696900097e-05,6771673.638680885,16070.644477234833,84.55461999594537,157.79436232549634,160.09170242112128,2.2973400956249024,0.0006600917024211213,-2.196254539082165e-07,4d3d6614d206a6ea8a63df8c5d6d8ba936dd588b6a642d5f55acc3f692d16da8,2.756340109044686e-06,6.56271234187808e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,34,0,413,1332.3767954543741,3.172325703462809e-05,6769865.603462627,15882.065020866676,84.05705694477508,160.09170242112128,171.85962357623472,11.767921155113434,0.0006718596235762347,-2.196254539082191e-07,4a957ffe64f17a2218eff1c9767860799966c4a13ebccfad8f93f8b51f3a0c73,2.6847556000575423e-06,6.392273049857927e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,35,0,423,1332.3767981391297,3.1723257098550824e-05,6756190.6282860655,14802.369721502588,81.1495879655008,171.85962357623472,183.60780859421396,11.748185017979246,0.000683607808594214,-2.1962545390822167e-07,954ccca717978411b75a30b0de2d68d8d614d60c5182bddbdbf65d038552a01f,3.360000846441835e-07,8.000002570118792e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,36,0,427,1332.3767984751298,3.1723257106550826e-05,6736580.692818876,11498.272530550932,71.52156259888514,183.60780859421396,185.9048827478541,2.2970741536401054,0.0006859048827478541,-2.54580391248335e-07,2853e2424273c255f1a98387ba8c37b574f9851943840c8f386bd4d6ed13bf56,7.560001904494129e-07,1.800000578276728e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,37,0,436,1332.37679923113,3.172325712455083e-05,6735260.711920235,11408.860146372357,71.24293839893981,185.9048827478541,189.25925483957488,3.3543720917208337,0.0006892592548395749,-3.0562439698742756e-07,d7945f7c32486d5636df20a38d2226ecc08d806747d8af55a6a9d3819bb44865,6.72000169288367e-07,1.6000005140237583e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,38,0,444,1332.3767999031302,3.172325714055084e-05,6732283.391465952,11337.980422787869,71.02128841815903,189.25925483957488,192.0994529035805,2.8401980640055653,0.0006920994529035805,-3.0562439698742884e-07,22566a3dfe123d41d73aa974d6b89fb9553bf6d5b8fd163d3339587535c3d183,4.200001058052294e-07,1.000000321264849e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,39,0,449,1332.3768003231303,3.172325715055084e-05,6730308.543773823,11228.759783508183,70.67838069337364,192.0994529035805,194.39679299920536,2.2973400956249024,0.0006943967929992054,-3.056243969874298e-07,7e6eb8e71139b7f40e6db25fa776cf0951932360a8c911208d0b9999753e0800,1.6800004232209176e-07,4.000001285059396e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,40,0,451,1332.3768004911303,3.172325715455084e-05,6727922.331474946,11181.58521019606,70.52975645310723,194.39679299920536,196.69413309483025,2.2973400956249024,0.0006966941330948303,-3.0562439698743085e-07,ab917257a85d6fda2513325a187f7c7434c276a6735235d003759c2834b00201,3.360000846441835e-07,8.000002570118792e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,41,0,455,1332.3768008271304,3.1723257162550844e-05,6727922.3331716,11020.388156493767,70.01952189466036,196.69413309483025,198.99147319045517,2.2973400956249024,0.0006989914731904552,-3.056243969874318e-07,16864731b6227fdc25fdaa85cb0a7e8768f9d40f173ced5a16926bffd8ad9a62,9.661516742198728e-07,2.3003585256260728e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,42,0,465,1332.376801793282,3.172325718555443e-05,6725036.49487124,11012.44115330174,69.99427116356028,198.99147319045517,203.21924220364,4.2277690131848225,0.00070321924220364,-3.0562439698743365e-07,ff5159a4987aefba8a5ca39fff7b0e8faefc6d795684676a8fe9c68fe0808ab8,6.72000169288367e-07,1.6000005140237583e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,43,0,473,1332.3768024652823,3.1723257201554435e-05,6721518.217673048,10964.78560848941,69.84265938342395,203.21924220364,206.22939395946068,3.0101517558207056,0.0007062293939594607,-3.05624396987435e-07,64add86788dbf257eabd8fc3b904b453d40158f35360f2e20b7987976ebfc3b8,1.9817816792055964e-06,4.7185305250725673e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,44,0,483,1332.376804447064,3.172325724873974e-05,6738416.501788155,14595.026977034688,80.57923618144633,206.22939395946068,215.04817562002884,8.81878166056815,0.0007150481756200289,-3.0562439698743884e-07,9dd83e701cf60ac837816f7dd631f1ff748cb965ea27b5f71dc9a4ed2a1ae368,1.4188594832376111e-06,3.378231667929693e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,45,0,493,1332.3768058659234,3.172325728252206e-05,6730198.635541738,13970.918552454796,78.83756021819289,215.04817562002884,221.25693789202407,6.208762271995259,0.0007212569378920241,-3.0562439698744154e-07,5da068beeb6c8968724887487faae4f9a3910e2db9b713113111a7ab80bbf258,1.6800004232209176e-07,4.000001285059396e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,46,0,495,1332.3768060339235,3.172325728652206e-05,6723470.317087581,13542.75239711417,77.6200940228237,221.25693789202407,223.55427798764902,2.2973400956249024,0.0007235542779876489,-3.056243969874426e-07,7d1a95a074d8755db612a3f5381faa83ce79a1fa8ca5d06baf1cb06beff5ce0a,1.3974226931168232e-06,3.327192850659938e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,47,0,505,1332.3768074313462,3.1723257319793987e-05,6723470.324139279,13397.741444102692,77.20341148473139,223.55427798764902,229.66923705616242,6.114959068513397,0.0007296692370561624,-3.0562439698744525e-07,e1d0552e0c2c2fc0bf8322002351389a1b1941bc78818018f88d335474d9048b,8.628398973087315e-07,2.054380157743424e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,48,0,515,1332.376808294186,3.172325734033779e-05,6661441.057589638,16581.504048030725,85.88803285693824,229.66923705616242,233.44492517924948,3.7756881230870727,0.0007334449251792495,-3.056243969874469e-07,4643437eccb9dc7a63cf7d3b21681c1c6aaff4fda5321ba3c1f4eeac3a9ba0f9,2.5200006348313764e-07,6.000001927589094e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,49,0,518,1332.376808546186,3.172325734633779e-05,6657701.7525582705,16328.265471765459,85.22965327348152,233.44492517924948,235.7422652748744,2.2973400956249024,0.0007357422652748744,-3.056243969874479e-07,3784b75847f0865638a6699dd2c8478cca0c422ae75ca9ad514ba855d238aa70,8.400002116104588e-07,2.000000642529698e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,50,0,528,1332.3768093861863,3.1723257366337796e-05,6655392.973313507,16148.029405969422,84.75795332313773,235.7422652748744,239.36788794932212,3.6256226744477495,0.000739367887949322,-3.056243969874495e-07,557de5d4ed97235cb802ad611f8cb753fd64ede93f28b9c95abbcdeb6c6f484a,3.360000846441835e-07,8.000002570118792e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,51,0,532,1332.3768097221864,3.17232573743378e-05,6652603.432588742,15789.710086205267,83.81230279608604,239.36788794932212,241.66522804494704,2.2973400956249024,0.000741665228044947,-3.056243969874505e-07,1688b6234426ad0fa66d4d4b7ab234ba434eb1cf9677d3291827f3d72f820833,3.4923064049507957e-06,8.315015478455381e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,52,0,542,1332.3768132144928,3.1723257457487954e-05,6649230.54600064,15629.132600878243,83.38503842798923,241.66522804494704,257.01148616599704,15.34625812104999,0.0007570114861659969,-3.056243969874572e-07,adb90b5dde87f8577bd52bd6c43fa0fc0769326f16f5bc1d99e3aa566a1916fb,5.040001269662753e-07,1.2000003855178187e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,53,0,548,1332.376813718493,3.172325746948796e-05,6624999.089309913,18550.88449563827,90.84541349342005,257.01148616599704,259.3088262616219,2.2973400956249024,0.0007593088262616219,-3.056243969874582e-07,5f73335678311d15c29088fd40d361ef00c1409941f5f825b036d6f369e2ce01,1.0912594916590024e-06,2.598236296252887e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,54,0,558,1332.3768148097524,3.172325749547032e-05,6622917.171581679,18369.776519423493,90.40087451471237,259.3088262616219,264.08405804753977,4.775231785917873,0.0007640840580475398,-3.056243969874603e-07,2d1335f41df2ce1afce90dfd6b26643c48cd55466f5973a3a23918e854f433ab,8.400002116104588e-08,2.000000642529698e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,55,0,559,1332.3768148937525,3.172325749747032e-05,6618226.765785874,17962.02834643916,89.39194442888073,264.08405804753977,266.3813981431647,2.2973400956249024,0.0007663813981431646,-3.056243969874613e-07,2e1fad93d5c6c4840bf113d5da1b9476a99cdd6affbdae76dacdb7ab9c1aad0f,8.400002116104588e-08,2.000000642529698e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,56,0,560,1332.3768149777525,3.172325749947032e-05,6615138.08262196,17773.792360579333,88.92231210989476,266.3813981431647,268.6787382387896,2.2973400956249024,0.0007686787382387896,-3.056243969874623e-07,5feed6934d467d76580e36e119afb83afc6f1edfe6e795c27b7439b40b5d6d72,8.400002116104588e-08,2.000000642529698e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
