candidate_id,original_1d_selection_role,pf_observed_microstructure_role,event_transaction_index,physical_avalanche_index,accepted_pre_step_index,accepted_event_step_index,physical_onset_boundary,projected_extension_before_um,projected_extension_after_um,moving_tip_translation_m,before_active_mobile,before_active_retained,before_wake_mobile,before_wake_retained,before_mobile_total,before_retained_total,before_all_total,after_active_mobile,after_active_retained,after_wake_mobile,after_wake_retained,after_mobile_total,after_retained_total,after_all_total,interval_emitted,interval_escaped,interval_recovered,inferred_wake_discard_or_unobserved_removal,state_conservation_residual,mobile_centroid_shift_tip_relative_m,mobile_width_change_m,retained_centroid_shift_tip_relative_m,retained_width_change_m,operator_active_mobile_after,operator_wake_mobile_after,operator_mobile_entering_wake,operator_mobile_discarded,operator_mobile_conservation_residual,operator_active_retained_after,operator_wake_retained_after,operator_retained_entering_wake,operator_retained_discarded,operator_retained_conservation_residual,onset_after_wake_0_10um_mobile,onset_after_wake_0_10um_retained,onset_after_wake_10_50um_mobile,onset_after_wake_10_50um_retained,onset_after_wake_50_100um_mobile,onset_after_wake_50_100um_retained,onset_after_wake_beyond_100um_mobile,onset_after_wake_beyond_100um_retained,onset_after_near_tip_0_2um_mobile,onset_after_near_tip_0_2um_retained,onset_after_ahead_0_10um_mobile,onset_after_ahead_0_10um_retained,onset_after_ahead_full_active_mobile,onset_after_ahead_full_active_retained,observer_bracket_semantics,outer_commit_state_reset
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,0,0,174,175,True,0.0,2.931106565679095,2.931106565679095e-06,0.0,25307.74308312199,42694.96665997136,1498.5661510182244,42694.96665997136,26806.309234140215,69501.27589411158,0.0,25263.98741143706,42882.35511906216,1644.9795839367137,42882.35511906216,26908.966995373776,69791.32211443593,290.0462203444331,2.007277544180397e-08,0.0,1.4551915228366852e-11,0.0,-1.4649373539856122e-08,5.827649301425186e-09,-7.495610563418462e-09,4.677209777217474e-09,0.0,42694.96665997136,0.0,0.0,0.0,0.0,26806.309234140215,25307.74308312199,0.0,0.0,42882.332282448886,1644.9795839367134,0.02283661327785485,9.79512145091402e-15,9.560236892878269e-126,4.089201039026051e-138,0.0,0.0,0.0,22766.89788791555,0.0,25263.987411437065,0.0,25263.987411437065,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,9,0,257,258,False,45.534666691946185,47.83200678757109,2.2973400956249022e-06,1.3035105441534022e-08,25047.853760371934,110520.15589096933,604653.3589611475,110520.15589098237,629701.2127215194,740221.3686125018,1.3142653189656681e-08,25257.74489039358,110520.17075045704,641783.1670397728,110520.17075047018,667040.9119301664,777561.0826806366,37339.71406813571,0.0,0.0,9.313225746154785e-10,0.0,-2.297336978162417e-06,1.2669176408339566e-07,-1.1115247235203885e-06,6.557478192258057e-07,1.303510544153402e-08,110520.15589096933,0.0,1.6543612251060553e-24,-1.6543612251060553e-24,805.774314831974,628895.4384066875,24242.07944553996,0.0,1.4551915228366852e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,10,0,259,260,False,47.83200678757109,50.12934688319599,2.2973400956249022e-06,1.0200551516075763e-08,19602.594379242233,110520.22591100316,670696.1965571464,110520.22591101336,690298.7909363887,800819.016847402,1.0299345378043271e-08,19793.22368716918,110520.22898896615,672201.4884687313,110520.22898897645,691994.7121559004,802514.9411448769,1695.9242974750232,0.0,0.0,1.1641532182693481e-10,0.0,-1.1888257487464827e-07,6.3826579428727514e-09,-6.343722404429859e-08,3.275879326736579e-08,1.828542656562154e-09,110520.22591101153,8.37200885951361e-09,0.0,-4.657603202670371e-12,632.6932930602293,689666.0976433282,18969.901086182006,1.1641532182693481e-10,9.458744898438454e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,11,1,292,293,True,50.12934688319599,52.42668697882088,2.2973400956248955e-06,0.0,18965.85349127958,783540.6130856618,8.474567277228438,783540.6130856618,18974.32805855681,802514.9411442186,0.0,16227.364469835982,784291.1819803305,23205.235809867,784291.1819803305,39432.60027970298,823723.7822600335,21208.84111664479,8.296300394617455e-07,0.0,2.3283064365386963e-10,0.0,-2.2072724473038304e-06,5.6166555354436175e-08,-1.358728213552776e-06,8.209635568985617e-07,0.0,783540.6130856618,0.0,0.0,0.0,580.5385703734514,18393.78948818336,18385.31492090613,0.0,0.0,119450.31279406746,23205.235635216675,608523.3374446977,0.00017465032878941054,56317.53174156539,1.0833728270072024e-19,0.0,0.0,0.0,14618.02896747158,0.0,16227.364469314945,0.0,16227.36446983598,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,12,1,313,314,False,52.42668697882088,56.677418122201125,4.250731143380243e-06,0.0,17514.18724012323,797859.134137767,55704.756734349925,797859.134137767,73218.94397447315,871078.0781122402,0.0,17161.572075243967,798450.7636432026,56137.33073646789,798450.7636432026,73298.90281171186,871749.6664549144,671.5883427107474,3.598245257573299e-08,0.0,5.820766091346741e-10,0.0,-7.085756509146658e-08,1.5123925320840347e-08,-5.128663963620281e-08,2.1097420284462948e-08,0.0,797859.1341373483,0.0,4.1874591261148453e-07,0.0,8.877584495078587e-07,73218.9439735854,17514.18723923547,0.0,0.0,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,13,1,333,334,False,56.677418122201125,64.60637726595918,7.928959143758052e-06,0.0,18545.90173580026,874823.7664518134,71100.41671733391,874823.7664518134,89646.31845313417,964470.0849049476,0.0,17757.22915856144,877075.344978723,70347.64183625254,877075.344978723,88104.87099481399,965180.215973537,710.1310896138893,3.7702420741151675e-08,0.0,2.0986772142350674e-05,0.0,-4.7258963004667004e-08,5.294993340380742e-08,-5.1038770174409005e-08,1.7876408369242247e-08,0.0,874823.676334693,0.0,0.09011712041683495,0.0,1.1179049831041455e-09,89646.31845313306,18545.90173579914,3.637978807091713e-12,-1.8189894035458565e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,14,1,334,335,False,64.60637726595918,73.04590364404542,8.439526378086238e-06,0.0,17757.22915856144,877075.344978723,70347.64183625254,877075.344978723,88104.87099481399,965180.215973537,0.0,16194.951146223239,877081.1892028241,161298.89375574363,877081.1892028241,177493.84490196686,1054575.034104791,89395.29403395078,1.4835419506213776e-06,0.0,0.4759012130089104,0.0,-8.537902979082169e-06,1.2840653956799024e-07,-3.6250766680390574e-06,1.763109615706766e-06,0.0,877075.1975622039,0.0,0.1474165191175416,0.0,5.620016354866278e-10,88104.87099481343,17757.229158560876,3.637978807091713e-12,-1.8189894035458565e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,15,1,337,338,False,73.04590364404542,75.34297779768553,2.297074153640119e-06,1.3428461898378944e-08,25805.990326711035,877079.1545560565,202711.4816088787,877079.1545560699,228517.47193558974,1105596.6264916598,1.33861703947464e-08,25724.96258728182,877079.0207613766,203931.42913580398,877079.02076139,229656.3917230858,1106735.4124844759,1138.920899625402,0.0,0.0,0.13490680931136012,0.0,-7.243137027435526e-08,1.1966485680641294e-09,-2.7120040493311122e-08,1.4927511584857628e-08,2.072331519522625e-09,877071.8742139109,1.135613037885632e-08,7.280342156998813,-6.38440411648844e-11,835.4724253702318,227681.9995102195,24970.517901340805,0.0,-1.4551915228366852e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,16,1,343,344,False,75.34297779768553,77.64005195132565,2.2970741536401055e-06,1.4299530449361604e-08,27481.135607250653,877071.8086537421,238350.61197632918,877071.8086537564,265831.74758357985,1142903.5562373362,1.4319994080241474e-08,27519.476237854233,877069.2413640171,244730.76451878727,877069.2413640314,272250.2407566415,1149319.482120673,6418.511961335316,0.0,0.0,2.5860779986251146,0.0,-3.588402221496473e-07,5.7205959394053465e-09,-1.2607581583554505e-07,7.585584373943224e-08,1.4299530449361604e-08,877047.264886165,0.0,24.543767577037215,0.0,875.6310274773926,264956.1165561024,26605.50457977326,0.0,2.9103830456733704e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,17,1,347,348,False,77.64005195132565,79.93712610496574,2.2970741536401055e-06,1.4263832782898955e-08,27411.66170188931,877040.2703000756,279814.036365903,877040.27030009,307225.6980677923,1184265.9683678823,1.4524403015947663e-08,27911.725540419968,877031.8777728644,285524.02944983065,877031.877772879,313435.7549902506,1190467.6327631297,6210.068524364848,0.0,0.0,8.404129117494449,0.0,-3.2130535039280383e-07,4.727923793397868e-09,-1.0893945832951754e-07,7.318214691031798e-08,7.520373067609962e-09,876954.4399479681,6.743459715288993e-09,85.83035211428069,8.625988812127616e-12,873.5508557312539,306352.14721206104,26538.11084615805,3.637978807091713e-12,3.637978807091713e-12,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,18,1,351,352,False,79.93712610496574,82.23340249422276,2.2962763892570145e-06,1.5895238904299456e-08,30546.494232972662,876916.7037907854,329351.1522418738,876916.7037908013,359897.64647484646,1236814.3502656478,1.5869090931612142e-08,30497.133747960826,876910.9331732097,330685.68731328286,876910.9331732255,361182.8210612437,1238093.754234469,1285.1771183635574,0.0,0.0,5.773149542277679,0.0,-6.757415993444501e-08,7.915519782938419e-10,-2.718896691927758e-08,1.4266779235826569e-08,2.806513720883606e-09,876635.1351867499,1.308872518341585e-08,281.56860404857434,6.622258297284134e-11,983.9018883075498,358913.7445865389,29562.59234466511,0.0,3.2741809263825417e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,19,1,361,362,False,82.23340249422276,100.16094124707362,1.7927538752850864e-05,1.486910150789673e-08,28575.348816024685,838335.5431585268,637181.0498582632,838335.5431585417,665756.398674288,1504091.9418328297,1.480134415267407e-08,28442.87654099194,827839.7820152864,661613.1463841684,827839.7820153012,690056.0229251604,1517895.8049404616,24299.81151094474,0.0,0.0,10495.948403312825,0.0,-9.428938270818129e-07,-2.2106832546752033e-07,-6.327002405216511e-07,3.3318039586662543e-07,2.1079880601876384e-18,605532.7165697409,1.4869101505788742e-08,232802.82658880076,2.9103830456733704e-11,7.76841229409483e-08,665756.3986721995,28575.348815947,2.010725438594818e-06,7.275957614183426e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,MOBILE_RICH_LONG_WAKE_AT_REINITIATION,20,1,364,365,False,100.16094124707362,102.45801540071372,2.297074153640092e-06,1.5355453799972362e-08,29511.10151401566,811453.2859518819,694904.894964443,811453.2859518973,724415.9964784588,1535869.282430356,1.527769200296257e-08,29360.018473644584,805908.4851820085,705106.1914568888,805908.4851820237,734466.2099305334,1540374.6951125572,10050.249437719816,0.0,0.0,5544.836755518569,0.0,-3.425345111433451e-07,-1.0733695227829523e-07,-2.5548086104414594e-07,1.3849805604229507e-07,1.9977262831152853e-09,786644.4204529054,1.335772751685708e-08,24808.865498989937,2.9103830456733704e-11,951.7498230910014,723464.2466553675,28559.351690924657,1.1641532182693481e-10,6.912159733474255e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
