implementation,material_class,candidate_id,temperature_K,physical_avalanche_index,first_event_transaction_index,last_event_transaction_index,event_transaction_count,start_extension_um,end_extension_um,extension_um,onset_native_drive_MPa_sqrt_m,classification,grouping_method,grouping_log_gap_decades,right_censored_at_target
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,13.300094642379278,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.525038810929078,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,1,1,1,1,2.4335696912706477,8.269426255548096,5.835856564277448,13.623923380317537,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.525038810929078,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,2,2,2,1,8.269426255548096,10.566766351172998,2.297340095624902,14.703506029928995,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.525038810929078,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,3,3,3,1,10.566766351172998,14.803139908890111,4.236373557717114,14.841657806743497,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.525038810929078,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,4,4,4,1,14.803139908890111,18.914682684690003,4.111542775799892,16.295538489963707,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.525038810929078,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,5,5,21,17,18.914682684690003,107.77927431065764,88.86459162596763,16.598625919689333,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,4.525038810929078,True
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,13.002641820847582,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,3.471365805561213,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,1,1,1,1,2.4335696912706477,8.269426255548096,5.835856564277448,13.304856971711509,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,3.471365805561213,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,2,2,2,1,8.269426255548096,10.566766351172998,2.297340095624902,14.085736854349298,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,3.471365805561213,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,3,3,3,1,10.566766351172998,14.803139908890111,4.236373557717114,14.167671116329284,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,3.471365805561213,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,4,4,4,1,14.803139908890111,18.914682684690003,4.111542775799892,15.269434153680137,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,3.471365805561213,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,5,5,21,17,18.914682684690003,107.77927431065764,88.86459162596763,15.490583682122045,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,3.471365805561213,True
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,13.427584613127774,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.447337689349773,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,1,1,1,1,2.4335696912706477,8.269426255548096,5.835856564277448,13.746906026634932,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.447337689349773,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,2,2,2,1,8.269426255548096,10.566766351172998,2.297340095624902,14.732243222537523,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.447337689349773,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,3,3,3,1,10.566766351172998,14.803139908890111,4.236373557717114,14.86172251440766,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.447337689349773,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,4,4,4,1,14.803139908890111,18.914682684690003,4.111542775799892,16.273341412933025,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.447337689349773,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,5,5,21,17,18.914682684690003,107.77927431065764,88.86459162596763,16.57180635309659,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,4.447337689349773,True
