implementation,material_class,candidate_id,temperature_K,event_transaction_index,physical_avalanche_index,onset_role,pre_event_extension_um,pre_event_displacement_m,onset_native_drive_kind,onset_native_drive_MPa_sqrt_m,is_structural_G,right_censored_avalanche_after_onset
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,3,3,REINITIATION_ONSET_PRE_EVENT,10.566766351172998,8.167902977634051e-06,MODEL_NATIVE_EVENT_INDEXED_K,14.86172251440766,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,4,4,REINITIATION_ONSET_PRE_EVENT,14.803139908890111,8.464663562764598e-06,MODEL_NATIVE_EVENT_INDEXED_K,16.273341412933025,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,5,5,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,9.40584016315603e-06,MODEL_NATIVE_EVENT_INDEXED_K,16.57180635309659,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,7.899458491389532e-06,MODEL_NATIVE_EVENT_INDEXED_K,13.416289278069469,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,7.974952687966107e-06,MODEL_NATIVE_EVENT_INDEXED_K,13.740634392729467,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,2,2,REINITIATION_ONSET_PRE_EVENT,8.269426255548096,8.151553557419101e-06,MODEL_NATIVE_EVENT_INDEXED_K,14.803956459612467,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,3,3,REINITIATION_ONSET_PRE_EVENT,10.566766351172998,8.211032234337466e-06,MODEL_NATIVE_EVENT_INDEXED_K,14.940197374740107,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,4,4,REINITIATION_ONSET_PRE_EVENT,14.803139908890111,8.531786526079867e-06,MODEL_NATIVE_EVENT_INDEXED_K,16.402385513809303,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,5,5,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,9.483841315584914e-06,MODEL_NATIVE_EVENT_INDEXED_K,16.709233735547038,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,1.2824469287795836e-05,MODEL_NATIVE_EVENT_INDEXED_K,21.78083345717047,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,1.3238293894983939e-05,MODEL_NATIVE_EVENT_INDEXED_K,22.809233297265916,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,2,2,REINITIATION_ONSET_PRE_EVENT,8.269426255548096,1.7803359234347675e-05,MODEL_NATIVE_EVENT_INDEXED_K,32.3325060779665,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,3,3,REINITIATION_ONSET_PRE_EVENT,10.566766351172998,1.7805260081999804e-05,MODEL_NATIVE_EVENT_INDEXED_K,32.39715693980862,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,4,4,REINITIATION_ONSET_PRE_EVENT,14.803139908890111,2.1233112050338942e-05,MODEL_NATIVE_EVENT_INDEXED_K,40.8207224176285,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,5,5,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,2.3106785486953027e-05,MODEL_NATIVE_EVENT_INDEXED_K,40.71100166386871,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,1.2584359393258443e-05,MODEL_NATIVE_EVENT_INDEXED_K,21.37303540276563,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,1.2972308480574727e-05,MODEL_NATIVE_EVENT_INDEXED_K,22.350947401888682,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,2,2,REINITIATION_ONSET_PRE_EVENT,8.269426255548096,1.7299471451879406e-05,MODEL_NATIVE_EVENT_INDEXED_K,31.417400418702115,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,3,3,REINITIATION_ONSET_PRE_EVENT,10.566766351172998,1.7301595731887075e-05,MODEL_NATIVE_EVENT_INDEXED_K,31.4807259008661,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,4,4,REINITIATION_ONSET_PRE_EVENT,14.803139908890111,2.0545663507077505e-05,MODEL_NATIVE_EVENT_INDEXED_K,39.49910050491268,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,5,5,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,2.2387755419975106e-05,MODEL_NATIVE_EVENT_INDEXED_K,39.44416884241727,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,300.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,1.3838921760192652e-05,MODEL_NATIVE_EVENT_INDEXED_K,23.50376014174811,False,False
