candidate_id,material_class,temperature_K,local_drive_stress_Pa,provider_configuration,cleavage_barrier_eV,emission_barrier_eV,cleavage_rate_s,emission_rate_s,peierls_rate_s,taylor_rate_s,cleavage_hazard_increment,emission_hazard_increment,common_kernel_fingerprint,comparison_status,source_function_direct_match_status
v913_zeroD_sobol_0242980,Peak,1100,3000000000.0,FEMCZM_CONSISTENT,5.602910610105186,2.5768006760805986,1.7088427796129821e-12,125.07698658774923,6.644968175533496e-18,1649.8178518803932,1.708842779612982e-18,0.00012507698658774922,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1100,6000000000.0,PF_CONSISTENT,2.9154888750506487,2.511370802014036,3.5110576289230044,249.4319041974444,6.644968175533496e-18,1649.8178518803932,3.5110576289230044e-06,0.0002494319041974444,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1100,6000000000.0,FEMCZM_CONSISTENT,2.9154888750506487,2.511370802014036,3.5110576289230044,249.4319041974444,6.644968175533496e-18,1649.8178518803932,3.5110576289230044e-06,0.0002494319041974444,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1200,1000000000.0,PF_CONSISTENT,8.715376031579419,2.709863255511268,1.9958212983069696e-23,332.78613209212165,1.7945345736001004e-15,7344.851147524831,1.9958212983069696e-29,0.00033278613209212165,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1200,1000000000.0,FEMCZM_CONSISTENT,8.715376031579419,2.709863255511268,1.9958212983069696e-23,332.78613209212165,1.7945345736001004e-15,7344.851147524831,1.9958212983069696e-29,0.00033278613209212165,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1200,3000000000.0,PF_CONSISTENT,6.039140009902492,2.670152796159335,3.4659177608599648e-12,488.586889325883,1.7945345736001004e-15,7344.851147524831,3.4659177608599646e-18,0.000488586889325883,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1200,3000000000.0,FEMCZM_CONSISTENT,6.039140009902492,2.670152796159335,3.4659177608599648e-12,488.586889325883,1.7945345736001004e-15,7344.851147524831,3.4659177608599646e-18,0.000488586889325883,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1200,6000000000.0,PF_CONSISTENT,3.096392292402971,2.603599337729315,7.921632910051047,929.9380806540588,1.7945345736001004e-15,7344.851147524831,7.921632910051046e-06,0.0009299380806540588,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1200,6000000000.0,FEMCZM_CONSISTENT,3.096392292402971,2.603599337729315,7.921632910051047,929.9380806540588,1.7945345736001004e-15,7344.851147524831,7.921632910051046e-06,0.0009299380806540588,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0202500,DBTT,300,1000000000.0,PF_CONSISTENT,1.3367176909830794,2.094434534804783,2.8004068014175345e-09,5.22562679451223e-22,5.895366205918726e-48,6.37140431776782e-15,2.8004068014175344e-15,5.22562679451223e-28,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
